Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x840e92389010	UDPv4	0.0.0.0	0	*	0		9444	svchost.exe	2025-03-13 21:55:51.000000 UTC
0x840e92389010	UDPv6	::	0	*	0		9444	svchost.exe	2025-03-13 21:55:51.000000 UTC
0x840e9238aaa0	UDPv4	127.0.0.1	56437	*	0		15568	SenseNdr.exe	2025-03-17 16:51:25.000000 UTC
0x840e9238b0e0	UDPv4	0.0.0.0	56438	*	0		15568	SenseNdr.exe	2025-03-17 16:51:25.000000 UTC
0x840e9238b720	UDPv4	0.0.0.0	63194	*	0		15568	SenseNdr.exe	2025-03-17 16:51:17.000000 UTC
0x840e9238ba40	UDPv4	0.0.0.0	54621	*	0		12476	msedge.exe	2025-03-17 16:51:25.000000 UTC
0x840e9238bbd0	UDPv4	127.0.0.1	61596	*	0		15568	SenseNdr.exe	2025-03-17 16:51:30.000000 UTC
0x840e9238c080	UDPv4	0.0.0.0	61597	*	0		15568	SenseNdr.exe	2025-03-17 16:51:30.000000 UTC
0x840e9238d4d0	UDPv4	127.0.0.1	63533	*	0		15568	SenseNdr.exe	2025-03-17 16:51:21.000000 UTC
0x840e9238edd0	UDPv4	0.0.0.0	63324	*	0		2376	svchost.exe	2025-03-17 16:51:40.000000 UTC
0x840e9238edd0	UDPv6	::	63324	*	0		2376	svchost.exe	2025-03-17 16:51:40.000000 UTC
0x840e923d74e0	TCPv4	10.20.20.23	50173	23.45.84.152	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e92c62840	UDPv4	0.0.0.0	61481	*	0		-	-	2025-03-12 22:12:18.000000 UTC
0x840e92c65720	UDPv4	0.0.0.0	50013	*	0		-	-	2025-03-12 22:12:20.000000 UTC
0x840e92c674d0	UDPv4	0.0.0.0	62737	*	0		-	-	2025-03-12 22:12:20.000000 UTC
0x840e92c68470	UDPv4	0.0.0.0	63320	*	0		-	-	2025-03-12 22:12:17.000000 UTC
0x840e92c69280	UDPv4	0.0.0.0	63147	*	0		-	-	2025-03-12 22:12:17.000000 UTC
0x840e96647de0	UDPv4	0.0.0.0	0	*	0		2168	svchost.exe	2025-03-12 18:54:57.000000 UTC
0x840e96647de0	UDPv6	::	0	*	0		2168	svchost.exe	2025-03-12 18:54:57.000000 UTC
0x840e9684aad0	UDPv4	0.0.0.0	0	*	0		2376	svchost.exe	2025-03-12 16:39:54.000000 UTC
0x840e9684aad0	UDPv6	::	0	*	0		2376	svchost.exe	2025-03-12 16:39:54.000000 UTC
0x840e96941500	TCPv4	10.20.20.23	50153	23.211.124.202	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:46.000000 UTC
0x840e96a21e40	UDPv6	::1	1900	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96af1960	UDPv4	0.0.0.0	5355	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96af1960	UDPv6	::	5355	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96af1af0	UDPv4	0.0.0.0	5353	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
