Volatility 3 Framework 2.26.2

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time
0x840e998251c0	msedge.exe	9728	True	True	True	True	
0x840e98ec91c0	RuntimeBroker.	10968	True	True	True	True	
0x840e99c6e080	svchost.exe	4636	True	True	True	True	
0x840e9b32d1c0	OneDrive.exe	12252	True	True	True	False	2025-03-12 19:21:51+00:00
0x840e9e5a11c0	uhssvc.exe	11740	True	True	True	True	
0x840e9968d080	splunkd.exe	13620	True	True	True	True	
0x840e996cf080	svchost.exe	9320	True	True	True	True	
0x840e92e732c0	svchost.exe	1580	True	True	True	True	
0x840e97dc72c0	SearchIndexer.	1852	True	True	True	True	
0x840e9856b2c0	svchost.exe	7780	True	True	True	True	
0x840e98dbf2c0	svchost.exe	8688	True	True	True	True	
0x840e98ff32c0	SecurityHealth	8808	True	True	True	True	
0x840e9e902340	msedge.exe	5808	True	True	True	True	
0x840e91a11080	spoolsv.exe	14536	True	True	True	True	
0x840e9b372080	taskhostw.exe	10476	True	True	True	True	
0x840e98453080	chrome.exe	8260	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e974b4080	CSFalconContai	324	True	True	True	True	
0x840e98db4080	msedge.exe	9888	True	True	True	True	
0x840e98b15080	fontdrvhost.ex	10704	True	True	True	True	
0x840e9c215080	conhost.exe	1600	True	True	True	True	
0x840e9b176080	chrome.exe	3240	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e9b73a080	svchost.exe	5116	True	True	True	True	
0x840e9b6f6080	msedge.exe	13488	True	True	True	True	
0x840e98db8080	MsSense.exe	10224	True	True	True	True	
0x840e96864380	svchost.exe	2384	True	True	True	True	
0x840e9676e080	svchost.exe	2168	True	True	True	True	
0x840e97f7e080	svchost.exe	5772	True	True	True	True	
0x840e9689a080	svchost.exe	2472	True	True	True	True	
0x840e96862080	svchost.exe	2376	True	True	True	True	
0x840e97442080	CSFalconContai	6624	True	True	True	True	
0x840e96c5a080	svchost.exe	7108	True	True	True	True	
0x840e91c2a080	svchost.exe	5340	True	True	True	True	
0x840e90de2080	svchost.exe	1480	True	True	True	True	
0x840e98bba080	SearchApp.exe	7932	True	True	True	True	
0x840e9969e080	svchost.exe	4156	True	True	True	True	
0x840e98bdf080	SystemSettings	10020	True	True	True	True	
0x840e9b2df080	MoUsoCoreWorke	10144	True	True	True	True	
0x840e9f3df080	conhost.exe	7256	True	True	True	True	
0x840e97159300	CSFalconServic	3648	True	True	True	True	
0x840e96f1d300	dasHost.exe	3752	True	True	True	True	
0x840e966d9300	svchost.exe	8912	True	True	True	True	
0x840e99840080	dllhost.exe	2492	True	True	True	True	
0x840e9c121080	RuntimeBroker.	10764	True	True	True	True	
0x840e97582080	msedge.exe	16344	True	True	True	True	
0x840e98444080	conhost.exe	4732	True	True	False	False	2025-03-12 16:41:34+00:00
0x840e9f28b080	WmiPrvSE.exe	14028	True	True	True	True	
0x840e98c48080	ApplicationFra	4836	True	True	True	True	
0x840e923f41c0	fontdrvhost.ex	800	True	True	True	True	
0x840e923f61c0	fontdrvhost.ex	892	True	True	True	True	
0x840e96c5e1c0	svchost.exe	2220	True	True	True	True	
0x840e96cdd1c0	svchost.exe	740	True	True	True	True	
0x840e972491c0	svchost.exe	4352	True	True	True	True	
0x840e973d81c0	svchost.exe	4800	True	True	True	True	
0x840e97add1c0	svchost.exe	6020	True	True	True	True	
0x840e98fb61c0	dllhost.exe	8472	True	True	True	True	
0x840e98dc11c0	SecurityHealth	8736	True	True	True	True	
0x840e98ff61c0	OneDrive.exe	9116	True	True	True	False	2025-03-12 16:42:43+00:00
0x840e995680c0	SgrmBroker.exe	9948	True	True	True	True	
0x840e91ba00c0	svchost.exe	7220	True	True	True	True	
0x840e993240c0	sihost.exe	10384	True	True	True	True	
0x840ea4a640c0	msedge.exe	13964	True	True	True	True	
0x840e99e240c0	ScreenConnect.	6988	True	True	True	True	
0x840e9832a1c0	msedge.exe	3832	True	True	True	True	
0x840e9e50a1c0	msedge.exe	4168	True	True	False	False	2025-03-13 14:42:31+00:00
0x840e9b1a1240	RuntimeBroker.	12140	True	True	True	True	
0x840e92f202c0	svchost.exe	1764	True	True	True	True	
0x840e96c582c0	svchost.exe	3028	True	True	True	True	
0x840e98e742c0	svchost.exe	8292	True	True	True	True	
0x840e9c250080	SenseIR.exe	7728	True	True	True	True	
0x840e974f7340	svchost.exe	15932	True	True	True	True	
0x840e9e253340	conhost.exe	13532	True	True	True	True	
0x840e99e31080	chrome.exe	6056	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e9d9b1080	msedge.exe	6408	True	True	True	True	
0x840e99a92080	SecurityHealth	12036	True	True	True	True	
0x840e98df3080	ShellExperienc	704	True	True	True	True	
0x840e99bf3080	msedge.exe	12476	True	True	True	True	
0x840ea08f3080	svchost.exe	12008	True	True	True	True	
0x840e9e7020c0	taskhostw.exe	6380	True	True	True	True	
0x840e9db77080	taskhostw.exe	15784	True	True	True	True	
0x840ea8d6a080	OpenHandleColl	11408	True	True	True	True	
0x840e98dd8080	chrome.exe	8792	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e9b739080	Microsoft.Phot	11148	True	True	True	True	
