Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
7868	8156	chrome.exe	0x840e9bef0080	0	-	1	False	2025-03-12 19:14:11.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
3240	8156	chrome.exe	0x840e9b176080	0	-	1	False	2025-03-12 19:14:15.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
2516	8156	chrome.exe	0x840e9958d2c0	0	-	1	False	2025-03-12 19:15:07.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
8792	8156	chrome.exe	0x840e98dd8080	0	-	1	False	2025-03-12 19:15:09.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
6056	8156	chrome.exe	0x840e99e31080	0	-	1	False	2025-03-12 19:15:15.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
4720	8156	chrome.exe	0x840e9968b080	0	-	1	False	2025-03-12 19:15:41.000000 UTC	2025-03-12 19:16:46.000000 UTC	Disabled
10680	980	LogonUI.exe	0x840e994d1080	5	-	1	False	2025-03-12 19:16:55.000000 UTC	N/A	Disabled
10732	10728	csrss.exe	0x840e9952c080	12	-	2	False	2025-03-12 19:16:55.000000 UTC	N/A	Disabled
2804	10728	winlogon.exe	0x840e9769f080	6	-	2	False	2025-03-12 19:16:56.000000 UTC	N/A	Disabled
10628	2804	dwm.exe	0x840e99c83080	18	-	2	False	2025-03-12 19:16:56.000000 UTC	N/A	Disabled
10704	2804	fontdrvhost.ex	0x840e98b15080	5	-	2	False	2025-03-12 19:16:56.000000 UTC	N/A	Disabled
10384	1764	sihost.exe	0x840e993240c0	10	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	Disabled
9320	1000	svchost.exe	0x840e996cf080	6	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	Disabled
9452	1000	svchost.exe	0x840e90b0d080	5	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	Disabled
10476	1580	taskhostw.exe	0x840e9b372080	7	-	2	False	2025-03-12 19:20:10.000000 UTC	N/A	Disabled
9940	2804	userinit.exe	0x840e91e1e080	0	-	2	False	2025-03-12 19:20:11.000000 UTC	2025-03-12 19:20:36.000000 UTC	Disabled
9852	9940	explorer.exe	0x840e99bcb080	64	-	2	False	2025-03-12 19:20:11.000000 UTC	N/A	Disabled
1540	3696	Sysmon64.exe	0x840e91ee7080	2	-	2	False	2025-03-12 19:20:11.000000 UTC	N/A	Disabled
10944	1540	conhost.exe	0x840e98eb3080	2	-	2	False	2025-03-12 19:20:12.000000 UTC	N/A	Disabled
4636	1000	svchost.exe	0x840e99c6e080	4	-	2	False	2025-03-12 19:20:13.000000 UTC	N/A	Disabled
8	756	StartMenuExper	0x840e9b7bb080	7	-	2	False	2025-03-12 19:20:15.000000 UTC	N/A	Disabled
10764	756	RuntimeBroker.	0x840e9c121080	1	-	2	False	2025-03-12 19:20:16.000000 UTC	N/A	Disabled
9288	756	SearchApp.exe	0x840e99bdd080	46	-	2	False	2025-03-12 19:20:17.000000 UTC	N/A	Disabled
10968	756	RuntimeBroker.	0x840e98ec91c0	5	-	2	False	2025-03-12 19:20:20.000000 UTC	N/A	Disabled
5164	756	dllhost.exe	0x840e9c236080	7	-	2	False	2025-03-12 19:20:22.000000 UTC	N/A	Disabled
11756	1000	svchost.exe	0x840e99a89080	3	-	0	False	2025-03-12 19:20:26.000000 UTC	N/A	Disabled
12188	5340	ctfmon.exe	0x840e9ce53300	9	-	2	False	2025-03-12 19:20:29.000000 UTC	N/A	Disabled
11628	9852	KeePass.exe	0x840e9b203300	4	-	2	False	2025-03-12 19:20:47.000000 UTC	N/A	Disabled
7964	756	WmiPrvSE.exe	0x840e9cba3080	6	-	0	False	2025-03-12 19:20:48.000000 UTC	N/A	Disabled
12140	756	RuntimeBroker.	0x840e9b1a1240	3	-	2	False	2025-03-12 19:20:53.000000 UTC	N/A	Disabled
12036	9852	SecurityHealth	0x840e99a92080	1	-	2	False	2025-03-12 19:20:54.000000 UTC	N/A	Disabled
12252	9852	OneDrive.exe	0x840e9b32d1c0	0	-	2	False	2025-03-12 19:20:55.000000 UTC	2025-03-12 19:21:51.000000 UTC	Disabled
7484	9852	msedge.exe	0x840e99760080	0	-	2	False	2025-03-12 19:20:59.000000 UTC	2025-03-12 19:21:14.000000 UTC	Disabled
12740	756	TextInputHost.	0x840e9da14340	11	-	2	False	2025-03-12 19:21:09.000000 UTC	N/A	Disabled
11592	12616	OneDrive.exe	0x840e995ea080	24	-	2	False	2025-03-12 19:21:57.000000 UTC	N/A	Disabled
5116	1000	svchost.exe	0x840e9b73a080	5	-	2	False	2025-03-12 19:22:10.000000 UTC	N/A	Disabled
7492	756	ApplicationFra	0x840e9f327080	1	-	2	False	2025-03-12 19:22:43.000000 UTC	N/A	Disabled
7588	756	ShellExperienc	0x840e985d8080	15	-	2	False	2025-03-12 19:22:44.000000 UTC	N/A	Disabled
4464	756	RuntimeBroker.	0x840e99da3080	2	-	2	False	2025-03-12 19:22:45.000000 UTC	N/A	Disabled
11148	756	Microsoft.Phot	0x840e9b739080	16	-	2	False	2025-03-12 19:28:09.000000 UTC	N/A	Disabled
10648	756	RuntimeBroker.	0x840e9c252080	3	-	2	False	2025-03-12 19:28:13.000000 UTC	N/A	Disabled
9092	756	SearchApp.exe	0x840e9c441080	38	-	2	False	2025-03-12 19:30:44.000000 UTC	N/A	Disabled
2800	1000	svchost.exe	0x840e9f40c340	11	-	0	False	2025-03-12 22:01:25.000000 UTC	N/A	Disabled
11740	1000	uhssvc.exe	0x840e9e5a11c0	4	-	0	False	2025-03-12 22:01:44.000000 UTC	N/A	Disabled
7884	756	dllhost.exe	0x840e9e99e080	2	-	2	True	2025-03-12 22:04:28.000000 UTC	N/A	Disabled
7516	756	FileCoAuth.exe	0x840e9e920080	2	-	2	False	2025-03-12 22:04:34.000000 UTC	N/A	Disabled
10124	756	dllhost.exe	0x840e9eaee0c0	2	-	2	False	2025-03-12 22:39:47.000000 UTC	N/A	Disabled
5824	12780	msedge.exe	0x840e9e39b080	0	-	2	False	2025-03-12 23:08:00.000000 UTC	2025-03-13 14:42:31.000000 UTC	Disabled
4168	12780	msedge.exe	0x840e9e50a1c0	0	-	2	False	2025-03-12 23:08:00.000000 UTC	2025-03-13 14:42:31.000000 UTC	Disabled
3444	1000	svchost.exe	0x840ea08f1080	4	-	0	False	2025-03-13 08:39:57.000000 UTC	N/A	Disabled
11596	1000	svchost.exe	0x840e9f3460c0	4	-	0	False	2025-03-13 14:40:25.000000 UTC	N/A	Disabled
7188	12780	msedge.exe	0x840e97637080	0	-	2	False	2025-03-13 14:42:31.000000 UTC	2025-03-13 14:59:22.000000 UTC	Disabled
12780	7188	msedge.exe	0x840ea17ec080	0	-	2	False	2025-03-13 14:42:41.000000 UTC	2025-03-13 14:59:22.000000 UTC	Disabled
12440	1000	svchost.exe	0x840e9bee60c0	5	-	0	False	2025-03-13 14:54:32.000000 UTC	N/A	Disabled
1336	7188	msedge.exe	0x840ea70570c0	48	-	2	False	2025-03-13 14:59:22.000000 UTC	N/A	Disabled
5808	1336	msedge.exe	0x840e9e902340	7	-	2	False	2025-03-13 14:59:22.000000 UTC	N/A	Disabled
13488	1336	msedge.exe	0x840e9b6f6080	18	-	2	False	2025-03-13 14:59:23.000000 UTC	N/A	Disabled
12476	1336	msedge.exe	0x840e99bf3080	17	-	2	False	2025-03-13 14:59:23.000000 UTC	N/A	Disabled
6408	1336	msedge.exe	0x840e9d9b1080	10	-	2	False	2025-03-13 14:59:23.000000 UTC	N/A	Disabled
13964	1336	msedge.exe	0x840ea4a640c0	17	-	2	False	2025-03-13 15:00:07.000000 UTC	N/A	Disabled
13620	1000	splunkd.exe	0x840e9968d080	48	-	0	False	2025-03-13 15:00:43.000000 UTC	N/A	Disabled
1600	13620	conhost.exe	0x840e9c215080	4	-	0	False	2025-03-13 15:00:43.000000 UTC	N/A	Disabled
11256	13620	splunk-winevtl	0x840e9c0cb080	6	-	0	False	2025-03-13 15:01:02.000000 UTC	N/A	Disabled
10144	756	MoUsoCoreWorke	0x840e9b2df080	8	-	0	False	2025-03-13 21:55:17.000000 UTC	N/A	Disabled
11776	1000	svchost.exe	0x840e9ccec080	7	-	0	False	2025-03-13 21:55:17.000000 UTC	N/A	Disabled
5148	1336	msedge.exe	0x840e9cb8d0c0	15	-	2	False	2025-03-13 21:55:43.000000 UTC	N/A	Disabled
9444	1000	svchost.exe	0x840ea5d2f080	4	-	0	False	2025-03-13 21:55:51.000000 UTC	N/A	Disabled
5176	7856	Microsoft.Shar	0x840e9969f080	16	-	2	False	2025-03-17 16:50:37.000000 UTC	N/A	Disabled
16344	1336	msedge.exe	0x840e97582080	9	-	2	False	2025-03-17 16:50:48.000000 UTC	N/A	Disabled
15568	10224	SenseNdr.exe	0x840e96f5a080	26	-	0	False	2025-03-17 16:51:17.000000 UTC	N/A	Disabled
15508	1000	svchost.exe	0x840e99581080	2	-	0	False	2025-03-17 16:52:19.000000 UTC	N/A	Disabled
11296	1000	PSEXESVC.exe	0x840e99474080	6	-	0	True	2025-03-17 17:01:17.000000 UTC	N/A	Disabled
4672	11296	excel-update.e	0x840e9e6f3080	2	-	0	True	2025-03-17 17:01:18.000000 UTC	N/A	Disabled
13752	4672	cmd.exe	0x840e978ed080	1	-	0	True	2025-03-17 17:04:00.000000 UTC	N/A	Disabled
12392	13752	conhost.exe	0x840e97e59080	3	-	0	False	2025-03-17 17:04:00.000000 UTC	N/A	Disabled
6988	1000	ScreenConnect.	0x840e99e240c0	16	-	0	True	2025-03-17 17:05:17.000000 UTC	N/A	Disabled
14756	6988	ScreenConnect.	0x840e9bdf4340	8	-	2	False	2025-03-17 17:05:19.000000 UTC	N/A	Disabled
1772	6988	ScreenConnect.	0x840e9ea14080	16	-	2	False	2025-03-17 17:05:21.000000 UTC	N/A	Disabled
15172	9852	powershell.exe	0x840e97b09080	11	-	2	False	2025-03-17 17:06:27.000000 UTC	N/A	Disabled
13176	15172	conhost.exe	0x840e99651080	4	-	2	False	2025-03-17 17:06:28.000000 UTC	N/A	Disabled
14536	15172	spoolsv.exe	0x840e91a11080	9	-	2	False	2025-03-17 17:12:10.000000 UTC	N/A	Disabled
6380	1580	taskhostw.exe	0x840e9e7020c0	4	-	2	False	2025-03-17 17:12:11.000000 UTC	N/A	Disabled
15784	1580	taskhostw.exe	0x840e9db77080	3	-	1	False	2025-03-17 17:12:11.000000 UTC	N/A	Disabled
14128	1000	svchost.exe	0x840e918e90c0	2	-	0	False	2025-03-17 17:16:17.000000 UTC	N/A	Disabled
14972	5328	CloudNotificat	0x840e9eb950c0	6	-	1	False	2025-03-17 17:16:49.000000 UTC	N/A	Disabled
13156	13752	powershell.exe	0x840e9ee430c0	10	-	0	True	2025-03-17 17:19:23.000000 UTC	N/A	Disabled
16024	1000	svchost.exe	0x840ea7061080	6	-	0	False	2025-03-17 17:21:19.000000 UTC	N/A	Disabled
15932	1000	svchost.exe	0x840e974f7340	3	-	0	False	2025-03-17 17:25:11.000000 UTC	N/A	Disabled
10392	1000	svchost.exe	0x840ea17e9080	4	-	0	False	2025-03-17 17:25:41.000000 UTC	N/A	Disabled
7728	10224	SenseIR.exe	0x840e9c250080	11	-	0	False	2025-03-17 17:26:26.000000 UTC	N/A	Disabled
10352	7728	powershell.exe	0x840e97c640c0	15	-	0	False	2025-03-17 17:26:36.000000 UTC	N/A	Disabled
7256	10352	conhost.exe	0x840e9f3df080	2	-	0	False	2025-03-17 17:26:36.000000 UTC	N/A	Disabled
